epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,4167.16,0.73552,0.54905,1.179,0.96605,0.97993,0.98757,0.84949,0.54364,0.32853,0.96371,0.00055188,0.00055188,0.00055188
33,4294.88,0.73562,0.54782,1.17714,0.96351,0.97904,0.98901,0.8497,0.54976,0.31265,0.97163,0.000523586,0.000523586,0.000523586
34,4423.85,0.72162,0.53399,1.17184,0.96733,0.97449,0.98712,0.84964,0.54682,0.31762,0.96554,0.000495291,0.000495291,0.000495291
35,4555.41,0.71619,0.53086,1.16132,0.97792,0.979,0.99077,0.85692,0.54837,0.31431,0.9639,0.000466997,0.000466997,0.000466997
36,4685.58,0.7077,0.52183,1.16133,0.97094,0.97702,0.98992,0.86025,0.52754,0.29726,0.95359,0.000438703,0.000438703,0.000438703
37,4810.89,0.70045,0.51509,1.1551,0.97394,0.97725,0.98838,0.85991,0.53006,0.30125,0.9512,0.000410409,0.000410409,0.000410409
38,4937.37,0.69256,0.505,1.15068,0.97276,0.97084,0.98688,0.86127,0.52542,0.31224,0.9511,0.000382115,0.000382115,0.000382115
39,5068.26,0.70206,0.50312,1.15115,0.97451,0.97728,0.98688,0.86577,0.51957,0.29821,0.94015,0.00035382,0.00035382,0.00035382
40,5198.76,0.68629,0.49139,1.14926,0.97909,0.97723,0.98987,0.87232,0.50807,0.28318,0.93537,0.000325526,0.000325526,0.000325526
41,5324.66,0.59681,0.35344,1.11489,0.985,0.97649,0.99046,0.87055,0.51253,0.28978,0.93492,0.000297232,0.000297232,0.000297232
42,5458.39,0.59092,0.34992,1.11024,0.98068,0.97364,0.98919,0.87534,0.50545,0.28548,0.9371,0.000268938,0.000268938,0.000268938
43,5591.63,0.58163,0.33412,1.10508,0.98113,0.97571,0.98909,0.87051,0.51202,0.29034,0.93616,0.000240644,0.000240644,0.000240644
44,5728.07,0.56151,0.32273,1.08396,0.97942,0.97951,0.98898,0.87822,0.50529,0.26694,0.93815,0.000212349,0.000212349,0.000212349
45,140.088,0.67287,0.48236,1.14051,0.98679,0.97592,0.99023,0.87707,0.50118,0.26123,0.92959,0.000184055,0.000184055,0.000184055
46,267.576,0.6518,0.46097,1.1249,0.98271,0.97962,0.99092,0.88111,0.49726,0.26438,0.92783,0.000155761,0.000155761,0.000155761
47,400.215,0.65301,0.4514,1.12945,0.98048,0.97328,0.98369,0.87451,0.49891,0.26352,0.9279,0.000127467,0.000127467,0.000127467
49,146.24,0.60876,0.42113,1.10114,0.98489,0.98078,0.99041,0.88156,0.4947,0.25715,0.92622,7.08784e-05,7.08784e-05,7.08784e-05
50,263.781,0.5961,0.4091,1.09114,0.98121,0.98278,0.99044,0.88165,0.49441,0.25512,0.92621,4.25842e-05,4.25842e-05,4.25842e-05
