epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.335,1.10551,1.99093,1.47791,0.73811,0.77751,0.78646,0.52083,1.04863,8.3413,1.51892,0.000475755,0.000475755,0.000475755
2,290.666,1.1651,1.48861,1.51623,0.65151,0.7674,0.75824,0.48732,1.05073,1.2403,1.46545,0.000933237,0.000933237,0.000933237
3,422.726,1.15406,1.33966,1.5063,0.72361,0.80359,0.82181,0.55527,0.95622,2.0321,1.38072,0.00137186,0.00137186,0.00137186
4,549.965,1.11064,1.24451,1.47166,0.86696,0.84684,0.89991,0.63182,0.84433,1.21452,1.27255,0.00134412,0.00134412,0.00134412
5,684.229,1.06317,1.1183,1.43196,0.86005,0.85677,0.89921,0.6716,0.7987,1.23358,1.24092,0.00131582,0.00131582,0.00131582
6,811.988,1.03753,1.07387,1.40948,0.83962,0.86889,0.91329,0.6705,0.79371,1.15939,1.23496,0.00128753,0.00128753,0.00128753
7,943.919,1.00532,0.98205,1.37725,0.88597,0.88067,0.92725,0.70092,0.79029,1.26894,1.20804,0.00125923,0.00125923,0.00125923
8,1064.24,0.98529,0.95949,1.36448,0.86945,0.90423,0.9291,0.70903,0.75171,1.9329,1.16505,0.00123094,0.00123094,0.00123094
9,1190.92,0.9494,0.91132,1.34767,0.89225,0.90084,0.93423,0.71877,0.74439,1.33554,1.16161,0.00120265,0.00120265,0.00120265
10,1320.02,0.93599,0.86901,1.33056,0.90136,0.88898,0.94155,0.74196,0.70928,0.73563,1.13645,0.00117435,0.00117435,0.00117435
11,1444.76,0.92534,0.85031,1.3198,0.94642,0.92085,0.96391,0.76163,0.68366,0.60738,1.11333,0.00114606,0.00114606,0.00114606
12,1578.54,0.9147,0.83115,1.31258,0.92641,0.91438,0.95594,0.75824,0.68994,0.59723,1.109,0.00111776,0.00111776,0.00111776
13,1712.25,0.88929,0.79632,1.29854,0.93801,0.92751,0.96485,0.78943,0.62382,0.49622,1.05117,0.00108947,0.00108947,0.00108947
14,1842.91,0.88978,0.77415,1.28826,0.92603,0.93866,0.96703,0.76507,0.66602,0.56452,1.08185,0.00106118,0.00106118,0.00106118
15,1974.33,0.87041,0.74579,1.27573,0.95782,0.94141,0.97378,0.78795,0.65879,0.51415,1.078,0.00103288,0.00103288,0.00103288
16,2101.74,0.85044,0.72592,1.26118,0.94931,0.94274,0.96859,0.80063,0.62642,0.4982,1.05158,0.00100459,0.00100459,0.00100459
17,2234.43,0.84647,0.70948,1.25995,0.95656,0.94629,0.97467,0.8068,0.61786,0.5096,1.04835,0.000976293,0.000976293,0.000976293
18,2361.78,0.83712,0.69838,1.2488,0.93815,0.94969,0.97358,0.81459,0.58896,0.57847,1.01906,0.000947999,0.000947999,0.000947999
19,2495.27,0.82305,0.68379,1.24415,0.93848,0.95532,0.97677,0.81112,0.60689,0.4297,1.03285,0.000919704,0.000919704,0.000919704
20,2623.27,0.81737,0.67916,1.24174,0.95038,0.96007,0.97701,0.80109,0.62087,0.43775,1.03114,0.00089141,0.00089141,0.00089141
21,2752.69,0.80854,0.66012,1.23279,0.95087,0.94939,0.97718,0.81906,0.5911,0.57895,1.02144,0.000863116,0.000863116,0.000863116
22,2883.29,0.81078,0.65916,1.23109,0.96553,0.95585,0.98378,0.83224,0.57552,0.43349,1.00243,0.000834822,0.000834822,0.000834822
23,3011.92,0.79102,0.63602,1.22378,0.95614,0.95593,0.97956,0.81059,0.60388,0.41986,1.01443,0.000806528,0.000806528,0.000806528
24,3140.83,0.78501,0.6392,1.21678,0.96037,0.96434,0.98161,0.81763,0.5977,0.37119,1.01189,0.000778233,0.000778233,0.000778233
25,3266.62,0.77954,0.62349,1.211,0.96821,0.95343,0.98227,0.83187,0.57465,0.35778,0.99747,0.000749939,0.000749939,0.000749939
26,3392.78,0.78653,0.62261,1.21544,0.96912,0.96415,0.98423,0.84752,0.53641,0.3715,0.96676,0.000721645,0.000721645,0.000721645
27,3525.15,0.76898,0.60158,1.20868,0.96369,0.95842,0.98568,0.83935,0.56401,0.35125,0.9813,0.000693351,0.000693351,0.000693351
28,3656.15,0.76273,0.58395,1.19817,0.97847,0.96001,0.9831,0.8387,0.5613,0.34653,0.98018,0.000665057,0.000665057,0.000665057
29,3780.63,0.75662,0.57594,1.19666,0.96539,0.96327,0.98431,0.84846,0.54922,0.35417,0.97378,0.000636762,0.000636762,0.000636762
30,3908.15,0.74458,0.56373,1.18335,0.97231,0.96874,0.98581,0.85079,0.52644,0.32002,0.95388,0.000608468,0.000608468,0.000608468
31,4039.82,0.74061,0.56384,1.18669,0.96685,0.97471,0.98956,0.852,0.53449,0.32363,0.95903,0.000580174,0.000580174,0.000580174
